second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
190,2,1918,7068,0,2,200,8849,8847,8865,7069,8862,15.958
191,7,2010,7130,0,1,193,9186,9186,9202,7131,9201,16.568
192,0,2115,7280,0,0,107,9428,9428,9444,7281,9443,17.004
193,0,1740,7086,0,6,180,8856,8856,8872,7087,8871,15.974
194,0,1605,7314,0,0,161,8803,8803,8819,7315,8818,15.878
195,0,1077,7496,0,4,262,8422,8418,8438,7497,8433,15.185
196,0,450,7180,0,0,84,7714,7714,7729,7180,7728,13.916
197,2,461,6960,0,0,148,7316,7316,7331,6960,7330,13.199
198,15,1104,6822,0,0,0,7906,7906,7921,6822,7920,14.261
199,0,1474,6042,0,0,75,7531,7531,7546,6042,7545,13.586
200,1,1197,6236,0,1,200,7332,7331,7347,6236,7345,13.226
201,11,1369,6306,0,0,142,7712,7712,7727,6306,7726,13.912
202,31,1541,6136,0,0,174,7780,7780,7795,6136,7794,14.034
203,0,1898,6250,0,2,144,8141,8141,8156,6250,8155,14.684
204,0,1215,6430,0,0,225,7589,7589,7604,6430,7603,13.69
205,2,1043,6653,0,1,143,7670,7670,7685,6653,7684,13.836
206,2,1160,6910,0,0,70,8085,8085,8100,6910,8099,14.584
207,0,1212,6986,0,0,38,8134,8134,8149,6986,8148,14.672
208,0,1095,7310,0,5,161,8122,8122,8137,7310,8136,14.65
209,4,558,7200,0,6,158,7742,7742,7757,7200,7756,13.966
210,16,1319,6916,0,0,0,8251,8251,8266,6916,8265,14.883
211,6,2240,6858,0,0,25,9129,9129,9144,6858,9143,16.463
212,1,2333,6993,0,0,55,9324,9324,9339,6993,9338,16.815
213,3,2245,7499,0,2,157,9873,9871,9888,7499,9885,17.8
214,3,2018,7991,0,3,189,10095,10095,10110,7991,10109,18.203
215,0,1839,8390,0,0,142,10206,10206,10221,8390,10220,18.403
216,0,2504,8494,0,0,57,11055,11055,11070,8494,11069,19.932
217,0,2429,9042,0,0,153,11277,11277,11292,9042,11291,20.331
218,1,1886,9291,0,2,137,11317,11316,11332,9291,11330,20.402
219,4,2437,9152,0,0,55,11591,11591,11606,9152,11605,20.897
220,0,2368,8716,0,2,174,11130,11130,11145,8716,11144,20.067
221,4,1922,9249,0,1,202,11242,11242,11257,9249,11256,20.268
222,6,2008,9290,0,1,159,11203,11202,11218,9290,11216,20.196
223,9,1535,9200,0,1,199,10801,10801,10816,9200,10815,19.474
226,19,3890,8352,0,0,5,12074,12074,12089,8352,12088,21.766
227,0,3923,8364,0,2,25,12137,12135,12152,8365,12149,21.876
231,0,4938,8260,0,1,132,13249,13248,13264,8261,13262,23.88
232,0,4435,8703,0,1,282,12935,12933,12950,8704,12947,23.313
233,0,4168,9185,0,4,297,12768,12768,12783,9186,12782,23.016
234,0,2151,9414,0,2,250,11735,11733,11750,9415,11747,21.152
235,5,1789,9656,0,0,198,11357,11357,11372,9657,11371,20.475
236,0,2490,9302,0,0,34,11780,11780,11795,9303,11794,21.237
237,1,2340,9914,0,8,317,11793,11791,11808,9915,11805,21.257
238,1,1719,9820,0,0,116,11625,11625,11640,9821,11639,20.958
239,4,2227,9708,0,0,71,12010,12010,12025,9709,12024,21.651
240,0,2089,10260,0,0,116,12465,12465,12480,10261,12479,22.471
241,3,1854,10538,0,5,155,12461,12461,12476,10539,12475,22.463
242,6,1861,10744,0,0,196,12730,12730,12745,10745,12744,22.948
243,0,1624,11100,0,1,195,12441,12441,12457,11101,12456,22.429
244,0,812,10954,0,5,159,11811,11809,11826,10955,11823,21.289
245,0,372,10806,0,0,149,11071,11071,11086,10807,11085,19.96
246,0,0,10806,0,0,35,10841,10841,10856,10807,10855,19.546
247,0,0,10172,0,0,0,10172,10172,10187,10173,10186,18.342
248,0,0,9732,0,0,0,9732,9732,9747,9733,9746,17.549
249,0,0,9564,0,0,0,9564,9564,9579,9566,9578,17.247
250,18,656,9322,0,0,0,9797,9797,9812,9324,9811,17.666
251,0,1092,8594,0,0,0,9686,9686,9701,8596,9700,17.466
252,0,1092,8324,0,0,72,9330,9330,9345,8326,9344,16.825
253,0,785,8452,0,1,195,8896,8896,8911,8454,8910,16.044
254,0,0,8452,0,0,47,8499,8499,8514,8454,8513,15.329
255,0,0,8316,0,0,0,8316,8316,8331,8318,8330,15
256,0,0,8306,0,0,0,8306,8306,8320,8307,8319,14.98
257,0,0,8038,0,0,0,8038,8038,8051,8039,8050,14.495
258,8,861,7712,0,0,0,8463,8463,8476,7713,8475,15.261
259,5,1284,7594,0,0,0,8878,8878,8891,7595,8890,16.008
260,8,2334,7522,0,1,35,9778,9777,9791,7523,9789,17.627
261,0,2127,7702,0,1,213,9888,9888,9901,7703,9900,17.827
262,1,1611,7516,0,3,188,9305,9305,9318,7517,9317,16.777
263,3,1645,7177,0,1,111,8863,8863,8876,7178,8875,15.981
264,14,1363,6912,0,1,182,8381,8380,8394,6913,8392,15.111
265,0,2159,6694,0,0,30,8872,8872,8885,6695,8884,15.997
266,6,2258,6870,0,0,71,9181,9181,9194,6871,9193,16.554
267,3,3113,5998,0,1,16,9042,9041,9055,5999,9053,16.301
268,12,2635,6368,0,2,176,9107,9106,9120,6369,9118,16.418
269,4,2350,6634,0,5,170,9081,9077,9094,6635,9089,16.366
270,5,2149,6682,0,0,214,8919,8919,8931,6683,8930,16.08
271,5,2007,6726,0,2,101,8647,8647,8659,6727,8658,15.59
272,2,2592,6464,0,2,113,9079,9079,9091,6465,9090,16.368
273,6,2293,6122,0,0,208,8543,8543,8555,6123,8554,15.403
274,1,2307,6266,0,1,204,8401,8400,8413,6267,8411,15.145
275,7,2110,6384,0,3,105,8534,8534,8546,6385,8545,15.387
277,0,2829,7042,0,0,72,9798,9798,9810,7043,9809,17.663
278,0,2713,7362,0,2,90,9902,9901,9913,7362,9911,17.846
279,0,2338,7606,0,2,112,10004,10004,10015,7607,10014,18.032
280,0,2133,8242,0,2,254,9925,9925,9936,8243,9935,17.89
281,10,1727,8242,0,0,143,10033,10033,10044,8243,10043,18.084
282,0,1798,8698,0,1,175,10448,10448,10459,8699,10458,18.831
283,18,1832,8424,0,0,126,10257,10257,10268,8425,10267,18.487
284,28,2140,8668,0,0,113,10845,10845,10856,8669,10855,19.546
285,0,1881,9176,0,0,273,10762,10762,10773,9177,10772,19.397
286,1,1302,9426,0,0,118,10783,10783,10794,9427,10793,19.435
287,2,1334,10044,0,0,200,10911,10911,10922,10045,10921,19.665
288,0,741,10044,0,0,40,10825,10825,10836,10045,10835,19.51
289,0,597,10440,0,1,155,10785,10785,10796,10441,10795,19.438
290,4,653,10504,0,0,66,11146,11146,11157,10505,11156,20.088
291,1,1520,9990,0,0,0,11410,11410,11421,9991,11420,20.564
292,2,1790,9538,0,1,87,11339,11339,11350,9539,11349,20.436
293,3,1941,9362,0,0,167,11285,11285,11296,9363,11295,20.339
294,0,1120,9774,0,5,164,10823,10823,10834,9775,10833,19.507
295,0,549,10046,0,9,183,10425,10425,10436,10047,10435,18.79
296,0,0,9936,0,0,179,10115,10115,10126,9937,10125,18.232
297,0,0,9912,0,0,0,9912,9912,9923,9913,9922,17.866
298,3,735,9232,0,0,0,9737,9737,9748,9233,9747,17.551
299,0,915,8958,0,0,0,9873,9873,9884,8959,9883,17.796
300,0,915,8410,0,0,109,9293,9293,9304,8411,9303,16.752
301,0,507,8580,0,0,208,8885,8885,8896,8581,8895,16.017
302,0,0,8484,0,0,90,8574,8574,8585,8485,8584,15.457
303,0,0,8036,0,0,0,8036,8036,8047,8037,8046,14.488
304,0,0,7440,0,0,0,7440,7440,7451,7441,7450,13.415
