relative_second,wall_clock_unix_second,combined_conn_per_sec,combined_in_flight,combined_ops,combined_failed_ops
577,1784171738,587,5382,819,22
578,1784171739,160,2599,1999,3
579,1784171740,280,5021,1268,1
580,1784171741,150,4882,1681,1
581,1784171742,169,4792,1764,2
582,1784171743,364,4551,1447,1
583,1784171744,81,1676,1110,0
584,1784171745,485,4245,1118,0
585,1784171746,618,4791,506,7
586,1784171747,567,5272,142,46
587,1784171748,527,5718,68,72
588,1784171749,65,5745,1024,0
589,1784171750,431,6092,931,9
590,1784171751,235,6049,1454,23
591,1784171752,168,5634,2523,19
592,1784171753,191,5260,2102,39
593,1784171754,685,5257,249,0
594,1784171755,262,5428,1250,3
595,1784171756,142,5502,1597,2
596,1784171757,381,5214,1004,0
597,1784171758,298,2250,792,0
598,1784171759,113,3148,1062,0
599,1784171760,407,5492,790,0
600,1784171761,225,5400,1018,0
601,1784171762,310,5386,2560,0
602,1784171763,266,5311,640,29
603,1784171764,411,5579,1428,30
604,1784171765,310,5481,768,9
605,1784171766,383,5675,1207,2
606,1784171767,205,5574,406,0
607,1784171768,118,2528,2445,2
608,1784171769,168,5232,1876,2
609,1784171770,473,5123,1422,35
610,1784171771,451,4431,2044,185
611,1784171772,361,4557,1035,0
612,1784171773,272,2478,2074,1
613,1784171774,310,2657,523,0
614,1784171775,10,2660,2560,2
615,1784171776,16,2534,2603,2
616,1784171777,16,2083,1802,2
617,1784171778,346,2275,607,0
618,1784171779,12,2285,1277,2
619,1784171780,581,2804,379,0
620,1784171781,235,3039,433,0
621,1784171782,713,3631,894,0
622,1784171783,673,4301,122,1
623,1784171784,536,4722,1470,2
624,1784171785,810,5180,42,0
625,1784171786,308,5426,803,9
626,1784171787,141,5429,1502,66
627,1784171788,382,5263,26,33
628,1784171789,159,5405,1097,18
629,1784171790,255,5578,723,143
630,1784171791,309,5689,1283,51
631,1784171792,574,5926,1461,58
632,1784171793,468,5664,1034,132
633,1784171794,425,5913,711,43
634,1784171795,201,5892,1198,0
635,1784171796,22,3497,3599,3
636,1784171797,390,2799,226,0
637,1784171798,79,2174,2319,0
638,1784171799,374,4583,863,0
639,1784171800,160,2466,1944,0
640,1784171801,248,2688,1776,0
641,1784171802,57,2744,2584,82
642,1784171803,0,0,326,0
643,1784171804,249,2829,1458,0
644,1784171805,389,3201,903,10
645,1784171806,110,3305,808,7
646,1784171807,387,3068,1403,0
647,1784171808,514,3558,909,0
648,1784171809,147,781,1286,1
649,1784171810,454,1235,1705,1
650,1784171811,819,3909,548,0
651,1784171812,293,4170,139,0
652,1784171813,60,4186,1679,0
653,1784171814,100,4016,1105,0
654,1784171815,281,3853,1008,0
655,1784171816,604,4457,447,0
656,1784171817,179,4611,1407,4
657,1784171818,390,4581,242,0
658,1784171819,215,4711,1385,0
659,1784171820,207,4410,3831,2
660,1784171821,449,3877,1695,2
661,1784171822,325,3858,690,0
662,1784171823,374,4070,981,0
663,1784171824,617,4461,646,0
664,1784171825,718,5166,327,0
665,1784171826,578,5708,144,22
666,1784171827,401,5967,792,81
667,1784171828,434,5933,1854,80
668,1784171829,213,5558,1917,1
669,1784171830,156,5442,2052,36
670,1784171831,308,5013,906,0
671,1784171832,791,5183,1465,83
672,1784171833,670,5709,138,39
673,1784171834,232,5925,122,9
674,1784171835,421,6283,737,10
675,1784171836,444,6644,406,69
676,1784171837,304,6750,496,126
677,1784171838,144,6794,740,81
678,1784171839,31,3151,1150,144
679,1784171840,18,5784,2503,2
680,1784171841,289,5840,1363,1
681,1784171842,207,5913,344,0
682,1784171843,65,5870,391,0
683,1784171844,243,5933,312,0
684,1784171845,313,6019,1830,2
685,1784171846,132,5755,716,1
686,1784171847,35,5375,2494,20
687,1784171848,274,5371,3268,21
688,1784171849,820,5392,241,75
689,1784171850,772,6011,183,74
690,1784171851,461,6341,741,36
691,1784171852,118,6294,376,2
692,1784171853,73,6233,3906,3
693,1784171854,144,5153,4060,7
694,1784171855,413,4313,970,0
695,1784171856,459,4535,34,0
696,1784171857,338,4860,168,2
697,1784171858,91,4860,266,6
698,1784171859,59,4856,1081,11
699,1784171860,618,5320,1417,99
700,1784171861,678,5742,244,151
701,1784171862,390,6015,594,46
702,1784171863,482,6345,1455,12
703,1784171864,470,6420,44,14
704,1784171865,556,6914,533,27
705,1784171866,520,7417,170,28
706,1784171867,390,7540,421,76
707,1784171868,9,4232,4039,16
708,1784171869,188,3446,2347,56
709,1784171870,245,5686,817,129
710,1784171871,374,5901,372,103
711,1784171872,442,6288,18,59
712,1784171873,233,6499,461,16
713,1784171874,595,6989,822,35
714,1784171875,641,7562,209,3
715,1784171876,463,7956,90,75
716,1784171877,355,8284,680,53
717,1784171878,0,0,1398,55
718,1784171879,0,0,2122,94
719,1784171880,267,2759,1485,78
720,1784171881,398,6939,646,40
721,1784171882,78,7000,344,0
722,1784171883,80,7070,483,0
723,1784171884,16,3962,374,0
724,1784171885,361,7346,1,20
725,1784171886,24,7351,0,120
726,1784171887,22,7274,0,141
727,1784171888,1,3153,0,363
728,1784171889,0,0,0,17
729,1784171890,37,3185,0,505
730,1784171891,111,3277,0,420
731,1784171892,3,3166,13,151
732,1784171893,202,3144,0,114
733,1784171894,127,3197,0,124
734,1784171895,31,3195,46,182
735,1784171896,0,0,36,180
736,1784171897,3,2809,112,110
737,1784171898,8,2779,120,335
738,1784171899,175,2388,101,310
739,1784171900,280,2547,90,25
740,1784171901,6,2547,362,12
741,1784171902,5,2519,368,10
742,1784171903,13,2500,400,7
743,1784171904,236,2690,210,16
744,1784171905,258,2840,230,89
745,1784171906,10,2787,698,8
746,1784171907,183,2738,981,4
747,1784171908,368,2928,16,10
748,1784171909,171,3097,868,0
749,1784171910,16,2801,1286,1
750,1784171911,169,2481,616,2
751,1784171912,79,2560,606,66
752,1784171913,266,2337,536,140
753,1784171914,351,2559,9,111
754,1784171915,320,2876,79,4
755,1784171916,5,2848,1192,44
756,1784171917,325,2758,231,11
757,1784171918,93,2797,476,3
758,1784171919,309,3106,188,6
759,1784171920,236,3104,917,160
760,1784171921,345,5673,189,137
761,1784171922,542,6161,841,36
762,1784171923,320,3203,164,40
763,1784171924,499,6583,278,96
764,1784171925,448,6984,295,98
765,1784171926,201,3413,614,272
766,1784171927,621,7167,132,15
767,1784171928,264,7426,315,0
768,1784171929,191,7556,177,5
769,1784171930,0,0,331,4
770,1784171931,2,3592,939,50
771,1784171932,141,3701,926,131
772,1784171933,89,7118,902,103
773,1784171934,236,6814,3075,80
774,1784171935,175,3825,1272,11
775,1784171936,39,6622,1957,1
776,1784171937,302,6275,906,0
777,1784171938,122,6384,2025,2
778,1784171939,45,6280,2971,19
779,1784171940,228,5600,3628,0
780,1784171941,476,4598,1914,0
781,1784171942,413,4473,1654,46
782,1784171943,288,4154,1263,1
783,1784171944,387,4151,2344,4
784,1784171945,647,3947,1745,0
785,1784171946,594,4276,233,0
786,1784171947,348,4553,1731,2
787,1784171948,236,4026,1479,1
788,1784171949,507,4219,1046,0
789,1784171950,345,4476,1492,2
790,1784171951,518,4672,221,0
791,1784171952,465,5032,1271,0
792,1784171953,569,5526,433,1
793,1784171954,296,5738,692,23
794,1784171955,510,6201,1637,11
795,1784171956,283,5906,277,17
796,1784171957,472,6225,910,79
797,1784171958,319,6329,1269,40
798,1784171959,469,6400,1412,29
799,1784171960,435,6566,992,79
800,1784171961,573,6611,289,74
801,1784171962,655,7226,356,18
802,1784171963,403,7599,706,35
803,1784171964,601,7596,1155,34
804,1784171965,341,7727,952,16
805,1784171966,607,8119,387,15
806,1784171967,661,8707,9,74
807,1784171968,456,9026,729,155
808,1784171969,314,8960,517,53
809,1784171970,531,9408,3,82
810,1784171971,340,9669,0,72
811,1784171972,187,9688,1972,147
812,1784171973,93,8956,1233,50
813,1784171974,32,8827,172,85
814,1784171975,250,8940,1440,44
815,1784171976,10,5154,910,73
816,1784171977,26,8625,399,19
817,1784171978,48,8609,1055,18
818,1784171979,62,8470,957,1
819,1784171980,20,8233,1221,15
820,1784171981,91,8142,1775,30
821,1784171982,46,3807,1104,15
822,1784171983,315,8000,360,10
823,1784171984,144,8114,960,18
824,1784171985,161,8205,977,4
825,1784171986,119,8051,2218,46
826,1784171987,231,7462,2357,3
827,1784171988,205,7179,3486,48
828,1784171989,414,6374,2479,25
829,1784171990,607,6248,952,2
830,1784171991,144,6099,1642,3
831,1784171992,128,5878,2081,3
832,1784171993,174,1237,2317,33
833,1784171994,429,4753,1859,6
834,1784171995,396,4895,1643,8
835,1784171996,297,4738,446,11
836,1784171997,510,5110,1086,18
837,1784171998,707,5591,394,0
838,1784171999,256,2599,2258,5
839,1784172000,386,5373,409,29
840,1784172001,87,2899,814,37
841,1784172002,422,3308,398,102
842,1784172003,586,5970,705,40
843,1784172004,491,6347,308,77
844,1784172005,250,6543,1870,25
845,1784172006,321,6256,688,0
846,1784172007,318,6467,769,16
847,1784172008,358,6416,1958,13
848,1784172009,472,6150,815,44
849,1784172010,303,6419,1859,9
850,1784172011,99,5981,706,13
